"","category","name","price","ratings","no_of_reviews"
"46","GamingAccessories2","zelotes T90 Gaming Mouse 9200 DPI, 8 Buttons Multi-Modes LED lights USB Gaming Mice, Weight Tuning for Laptop, Desktop, PC, Macbook - Black",NA,NA,"49"
"47","GamingAccessories2","MOOJAY Wireless PC Gaming Keyboard and Mouse RGB Backlit, Rechargeable 2.4G Light Up Cordless Keyboard with Ergonomic Wireless Wired Dual Mode Mice, for PC/Laptop/Windows/Mac - Black",NA,NA,"5,421"
"48","GamingAccessories2","Razer Basilisk V3 - Customizable Ergonomic Gaming-Mouse with fastest Mouse Switch, 26K dpi Optical Sensor (Chroma RGB Lighting, 11 Programmable Buttons, HyperScroll Tilt Wheel) Black",NA,NA,"181"
"49","GamingAccessories2","Check each product page for other buying options.","44.","4.2 out of 5 stars","1,088"
"50","GamingAccessories2","KLIM Blaze Pro RGB Rechargeable Wireless Gaming Mouse with Charging Dock + High-Precision Sensor and Long-lasting Battery + Up to 6000 DPI + Wired and Wireless Mouse UK for PC NEW 2022","59.","3.9 out of 5 stars","2,220"
"51","GamingAccessories2","Logitech G703 LIGHTSPEED Wireless Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 6 Programmable Buttons, Long Battery Life, POWERPLAY-compatible, PC/Mac - Black","27.","4.0 out of 5 stars","36"
"52","GamingAccessories2","PrisTeam Gaming Wireless Charging Mouse Pad - Non-slip Rubber Gaming Mouse Pad Large 800mm X 300mm X 4mm, Stylish Led Mouse Mat With Raised 15W Wireless Charging Platform","19.","4.1 out of 5 stars","381"
"53","GamingAccessories2","RGB Gaming Mouse Wired,Vollion PC Gaming Mice with 8 Programmable Buttons,Chroma RGB Backlit, 7200 DPI Adjustable,Comfortable Grip Ergonomic Optical Computer Gaming Mice with Shutton Button,Black","45.","4.2 out of 5 stars","246"
"54","GamingAccessories2","RedThunder K10 Wired Gaming Keyboard and Mouse Combo, UK Layout, True RGB Backlight, Soft Leather Wrist Rest, Mechanical Feel Ergonomic Anti-Ghosting Keyboard + 7D 7200 DPI Mouse for PC, Mac (Black)","45.",NA,"536"
"55","GamingAccessories2","RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, UK Layout Mechanical Feel Keyboard + 7D 3200DPI Mice for PC Gamer (Black)","6.",NA,"2"
"56","GamingAccessories2","Arfriqka AFKA RGB Gamer Mouse | High-Precision 10000DPI |(Black) Rechargeable Wired | Ergonomic Design with Programmable Buttons, gaming mouse - Laptop, Desktop PC/Mac Compatible","76.",NA,"272"
"57","GamingAccessories2","SteelSeries Aerox 3 Wireless Ghost (2022) - Super Light Gaming Mouse - 68g Water Resistant Design - 200 Hour Battery Life","110.",NA,"1,211"
"58","GamingAccessories2","CORSAIR NIGHTSWORD RGB Wired Tunable FPS/MOBA Gaming Mouse – 18,000 DPI – 10 Programmable Buttons – Weight System – iCUE Compatible – PC, Mac, PS5, PS4, Xbox – Black","27.",NA,"8,097"
"59","GamingAccessories2","Logitech G PRO X SUPERLIGHT Wireless Gaming Mouse, made for esports HERO 25K Sensor, Ultra Lightweight 63g, Programmable Buttons, Up to 70h Battery Life, ZERO-ADDITIVE PTFE FEET, PC/Mac - Black","19.",NA,"20"
"60","GamingAccessories2","AJAZZ AJ099 PRO X SUPERLIGHT Wireless Gaming Mouse,Ultra-Light(56g),Pixart Sensor PAW3311,Up to 12000DPI,2.4G/USB-C Wired Gaming Mice,6 Programmable Buttons,200Hrs Battery,for PC/MAC/PS4/XBOX - White","24.",NA,"300"
"61","GamingAccessories2","Wired Gaming Mouse, 6 RGB Lighting 6400 DPI Programmable USB Gaming Mice with 6 buttons, Honeycomb Shell Ergonomic Design for PC Gamers and Xbox and PS4 Users -White","5.",NA,"102"
"62","GamingAccessories2","Combrite Falcon Gaming Keyboard And Mouse Set, TKL Compact Size, Rainbow LED Backlit, USB Wired Desktop Combo, UK Layout","99.",NA,"1,526"
"63","GamingAccessories2","Trust Gaming GXT 109P Felox Gaming Mouse with 6 Programmable Buttons, Advanced Software, Multicolour LED Lighting, 200-6400 DPI, 1.5m USB Cable, RGB Computer Mouse for PC, Laptop, Windows - Pink",NA,NA,"1,189"
"64","GamingAccessories2","TECKNET Wired Gaming Mouse, 8000 DPI Adjustable PC Gaming Mice with 11 Programmable Macro Buttons & Fire Button, 8 RGB Backlit, Laptop Gaming Mice, Ergonomic Gaming Mouse for PC Windows/Vista",NA,NA,"14,784"
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA
"NA.16",NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA
"NA.21",NA,NA,NA,NA,NA
"NA.22",NA,NA,NA,NA,NA
"NA.23",NA,NA,NA,NA,NA
"NA.24",NA,NA,NA,NA,NA
"NA.25",NA,NA,NA,NA,NA
"NA.26",NA,NA,NA,NA,NA
"NA.27",NA,NA,NA,NA,NA
"NA.28",NA,NA,NA,NA,NA
"NA.29",NA,NA,NA,NA,NA
"NA.30",NA,NA,NA,NA,NA
"NA.31",NA,NA,NA,NA,NA
"NA.32",NA,NA,NA,NA,NA
"NA.33",NA,NA,NA,NA,NA
"NA.34",NA,NA,NA,NA,NA
"NA.35",NA,NA,NA,NA,NA
