"","category","name","price","ratings","no_of_reviews"
"61","GamingAccessories","Acer KG241YAbii 23.8 Inch Full HD Gaming Monitor (VA Panel, FreeSync, 75Hz, 1ms, HDMI, VGA, Black)","80.",NA,"181"
"62","GamingAccessories","Samsung LS22C310EAUXXU 22"" Full HD IPS Monitor - 1080p, HDMI, VGA","100.",NA,"177"
"63","GamingAccessories","Dell S2421HN 24 Inch Full HD 1080p (1920 x 1080) 75Hz IPS Ultra-Thin Bezel Monitor 2 x HDMI Ports, Audio Line Out, Adaptive AMD FreeSync, Silver","134.",NA,"513"
"64","GamingAccessories","Acer EK240YCbif 23.8 Inch Full HD Monitor (VA Panel, FreeSync, 5ms, HDMI, VGA, Black)","107.",NA,"14,422"
"65","GamingAccessories","BenQ GW2485TC 23.8 inch 1080p, IPS LED Monitor, USB-C, noise-cancellation microphone for Home Office, Coding mode for programmers, USB-C 60W power delivery,Black","75.",NA,"41"
"66","GamingAccessories","Acer Nitro KG241YS3biipf 24-inch Gaming Monitor - VA Panel, 1920 x 1080, 4ms, 180Hz, FreeSync Premium, HDR 10, DP, HDMI","157.",NA,"231"
"67","GamingAccessories","ViewSonic VA2406-H 24-inch 1080p Full HD Monitor with SuperClear VA Panel, Anti-Glare/Matte, HDMI, VGA, for Business or Home use,Black","69.",NA,"983"
"68","GamingAccessories","AOC Gaming 25G3ZM/BK - 25"" 240Hz FHD Monitor, 0.5ms MPRT, FreeSync Premium (1920x1080, HDMI 2.0 x 2, DisplayPort 1.2 x 1, Headphone out (3.5mm)) black/red","157.",NA,"46"
"69","GamingAccessories","HTNZIRL 23.8 Inch Computer Monitor Built in Speakers PC monitor IPS Panel 75Hz HDMI Monitor FHD 1920x1080 3ms Framless HDMI VGA Thin Bezel PC Monitor IPS Monitor for Home Office, Gaming, Black","107.",NA,"74"
"70","GamingAccessories","ASUS TUF Gaming VG24VQR Curved Gaming Monitor â€“ 23.6 inch Full HD (1920 x 1080), 165Hz, Extreme Low Motion Blur, FreeSync Premium, 1ms (MPRT), Shadow Boost","136.",NA,"181"
"71","GamingAccessories","Samsung LS24C310EAUXXU 24"" Full HD 1920x1080 IPS Monitor - 1080p, HDMI, VGA",NA,NA,"243"
"72","GamingAccessories","AOC Q24V4EA - 24 Inch QHD Monitor, 75Hz, 4ms, IPS, Adaptive Sync, Speakers, FlickerFree (2560x1440 @ 75Hz, 250cd/m², HDMI 1.4 x 1, DisplayPort 1.2 x 1 ), black",NA,NA,NA
"73","GamingAccessories","MSI PRO MP241X 23.8"" Monitor, FHD (1920 x 1080), 75Hz, VA, 4ms, HDMI, VGA, Anti-Glare, Anti-Flicker, Less Blue light, TÜV Certified, VESA, Black","71.","4.2 out of 5 stars","399"
